date	HL_CI4	HL_CI4	HL_CI4
2018-01-06 20:30:00	20.508025381672134	20.392340417159144	20.559999786018547
2018-01-06 20:40:00	20.409936466404947	20.284006167667993	20.466513846996914
2018-01-06 20:50:00	20.31077614205184	20.17462195459874	20.371946863951056
2018-01-06 21:00:00	20.21045816541499	20.064182865599914	20.27617605373771
2018-01-06 21:10:00	20.12118283907685	19.979176746231218	20.184982677891554
2018-01-06 21:20:00	20.033298337878662	19.89553705727441	20.095191087135646
2018-01-06 21:30:00	20.0	19.938172605455204	20.027777525085344
2018-01-06 21:40:00	20.0	20.032870518831775	19.98523208574225
2018-01-06 21:50:00	20.0	20.095195019170006	19.95723122327145
2018-01-06 22:00:00	20.0	20.16321467697247	19.926671666867446
2018-01-06 22:10:00	20.0	20.186053958661073	19.916410540311695
2018-01-06 22:20:00	20.0	20.201114299255323	19.90964430033457
2018-01-06 22:30:00	20.0	20.21102517674657	19.90519158725879
2018-01-06 22:40:00	20.0	20.21754733383795	19.902261342768462
2018-01-06 22:50:00	20.0	20.22183943943449	19.900333005471463
2018-01-06 23:00:00	20.0	20.224663991219014	19.899064003945085
2018-01-06 23:10:00	20.0	20.227793683962457	19.897657910103828
2018-01-06 23:20:00	20.0	20.228612090815492	19.897290220068406
2018-01-06 23:30:00	20.0	20.227912949572673	19.897604327003585
2018-01-06 23:40:00	20.0	20.226215135865825	19.89836711287188
2018-01-06 23:50:00	20.0	20.223860114743253	19.89942516583999
2018-01-07 00:00:00	20.0	20.221072597928792	19.90067752846678
2018-01-07 00:10:00	20.0	20.216729554089707	19.90262875106115
2018-01-07 00:20:00	20.0	20.213874942350714	19.903911257784465
2018-01-07 00:30:00	20.0	20.21199637273	19.904755252831453
2018-01-07 00:40:00	20.0	20.210760122356643	19.905310669665862
2018-01-07 00:50:00	20.0	20.2099465698659	19.905676178755904
2018-01-07 01:00:00	20.0	20.20941118668671	19.90591671322771
2018-01-07 01:10:00	20.0	20.209058861358244	19.906075004317312
2018-01-07 01:20:00	20.0	20.20882700286525	19.906179172625762
2018-01-07 01:30:00	20.0	20.208674421269684	19.90624772377739
2018-01-07 01:40:00	20.0	20.20857401026902	19.906292835966095
2018-01-07 01:50:00	20.0	20.20850793172905	19.90632252342608
2018-01-07 02:00:00	20.0	20.23545376101334	19.894216426211397
2018-01-07 02:10:00	20.0	20.23128697824276	19.896088459050354
2018-01-07 02:20:00	20.0	20.228575099436263	19.89730683938371
2018-01-07 02:30:00	20.0	20.226790424076473	19.898108650052603
2018-01-07 02:40:00	20.0	20.225615964635924	19.89863630574328
2018-01-07 02:50:00	20.0	20.22484307614532	19.89898354549993
2018-01-07 03:00:00	20.0	20.251104956977542	19.887184729473862
2018-01-07 03:10:00	20.0	20.24681902167225	19.889110294611022
2018-01-07 03:20:00	20.0	20.24402826055336	19.890364114823857
2018-01-07 03:30:00	20.0	20.242191676131466	19.89118924695543
2018-01-07 03:40:00	20.0	20.240983057122858	19.89173224969843
2018-01-07 03:50:00	20.0	20.2401876893962	19.892089588822
2018-01-07 04:00:00	20.0	20.212688251838113	19.904444408594472
2018-01-07 04:10:00	20.0	20.216470615126877	19.90274508595749
2018-01-07 04:20:00	20.0	20.218929539493605	19.901640351821715
2018-01-07 04:30:00	20.0	20.220547750752274	19.90091332937217
2018-01-07 04:40:00	20.0	20.221612663618632	19.900434890258296
2018-01-07 04:50:00	20.0	20.222313461779652	19.900120038910593
2018-01-07 05:00:00	20.0	20.249953773557184	19.887701927822135
2018-01-07 05:10:00	20.0	20.245956947115307	19.889497603469938
2018-01-07 05:20:00	20.0	20.243357290992464	19.890665564916432
2018-01-07 05:30:00	20.0	20.241646467994556	19.89143419553868
2018-01-07 05:40:00	20.0	20.240520610204552	19.891940015705202
2018-01-07 05:50:00	20.0	20.239779706072305	19.892272885677663
2018-01-07 06:00:00	20.0	20.185121260170973	19.916829578763767
2018-01-07 06:10:00	20.0	20.199383726144525	19.91042180419594
