date	HL_CI4	HL_CI4	HL_CI4	HL_CE2	HL_CE2	HL_CE2	HL_CK3	HL_CK3	HL_CK3	HL_CJ1	HL_CJ1	HL_CJ1	HL_CL1	HL_CL1	HL_CL1	HL_CL21	HL_CL21	HL_CL21	HL_CL3	HL_CL3	HL_CL3
2018-01-13 14:50:00	21.540293083562005	21.668576096984395	21.48265868622731	21.05480864430031	21.177252150336358	20.999797793762376	21.11911603840972	21.241797690616934	21.063998194664443	21.078340607839124	21.200407568164906	21.02349893001159	21.564586305917263	21.67253976628493	21.516085475897015	20.0	20.231453903885033	19.896013463471945	21.73267108196902	21.84895194570978	21.680428954781156
2018-01-13 15:00:00	21.62882659817785	21.740881359278518	21.578483154784806	21.097619561982157	21.209113772959483	21.047527959948873	21.164779730811002	21.2763049570723	21.114674194374764	21.121936442045445	21.23302965316472	21.072024999368658	21.624939926697408	21.722139767771026	21.581270432881723	20.0	20.230474101994346	19.896453664321385	21.806900775033988	21.910701504634332	21.760265664633827
2018-01-13 15:10:00	21.688137142554915	21.79903073392117	21.638315384115003	21.12592033914815	21.23686676333987	21.07607484422143	21.195323025568715	21.306248247685517	21.145487056211884	21.15101537784847	21.261546408609	21.10135650895605	21.67152263960614	21.767743775353832	21.628292853980355	20.0	20.237661240636367	19.893224660003952	21.866341313613795	21.968877124186605	21.820274500168047
2018-01-13 15:20:00	21.74697830193094	21.856703685760067	21.69768139035554	21.153955997292407	21.264348252107148	21.104359477013325	21.225588234346592	21.335906880538587	21.176024784608153	21.179823663814904	21.289786116975854	21.130420242829537	21.717770026025363	21.813012264492443	21.674980034830014	20.0	20.242407427360128	19.89109231524401	21.92482925307595	22.0261092713208	21.87932663618333
2018-01-13 15:30:00	21.80531159702049	21.913879152155275	21.756534869351242	21.18170586836858	21.291549618033535	21.132355777939402	21.25555327740385	21.365271368154595	21.20625964242887	21.208340480688317	21.317740103009854	21.159189925732257	21.763669155042535	21.857939861859382	21.721315649081333	20.0	20.245547166337253	19.88968170787747	21.982359670190284	22.082404439647107	21.93741202014447
2018-01-13 15:40:00	21.8631413419467	21.970561064820444	21.814880307032425	21.209172902386435	21.318473737547244	21.16006673006782	21.28522118867547	21.394344695053597	21.236194685809927	21.236568821383475	21.345411301580747	21.187668576657167	21.80922266592667	21.90252914849658	21.767302362163377	20.0	20.247624188118387	19.888748553164206	21.485642744673697	21.005389719228496	21.701408596685305
2018-01-13 15:50:00	21.92047168517944	22.026753218136342	21.87272201095243	21.236359965411665	21.345123397296444	21.18749523514459	21.314594903950592	21.423129717989557	21.26583288604903	21.26451161161411	21.372802592692345	21.215859141854324	21.854433164813305	21.94678268360029	21.81294280130031	20.0	20.248998193897066	19.88813124622016	21.857299873486976	21.960000474255907	21.811159023866157
2018-01-13 16:00:00	22.0	22.085539739190168	21.961569102682688	21.272603446921742	21.368779014785403	21.229394133823583	21.35393464824647	21.44964678148743	21.31093354490633	21.301464457976373	21.397133862763646	21.25848255147774	21.909515930167235	21.99004169985916	21.8733376858129	20.0	20.24881997388612	19.888211316080152	21.913218491094757	22.001976744563837	21.873341594608657
2018-01-13 16:10:00	21.296649153158143	20.387997303433337	21.70488404216495	21.296494583848485	21.406985841827915	21.24685358388671	21.38002021313969	21.490198674230108	21.330519745113566	21.326052590934147	21.436007120673025	21.276652729747106	21.953626862901814	22.04886430414327	21.910839026981748	20.0	20.261130177531868	19.882680644876984	21.40666128856356	20.931343097102417	21.620210041249006
2018-01-13 16:20:00	21.84169221610219	21.959372135688113	21.788821527592575	21.32275676736322	21.44750038862299	21.26671253172477	21.40846067391936	21.533041112357346	21.3524897523023	21.35300600743936	21.477182374582355	21.297216625099757	22.0	22.1098909873734	21.950628686832246	20.0	20.270368733945478	19.878529989096958	21.773302149681527	21.89703987482616	21.717709838384668
2018-01-13 16:30:00	21.89238136953592	22.02356497308279	21.833443808522105	21.35133263040338	21.490282911637077	21.28890569245781	21.43919719934906	21.57813361417341	21.376776491239564	21.3822673265486	21.520620008483796	21.32010887524438	21.754444244906104	21.4574279054592	21.887886368425725	20.0	20.277587316596364	19.875286857761054	21.83158414601106	21.97009445902964	21.769354874944742
2018-01-13 16:40:00	21.94517308636455	22.08979837586196	21.880196507025133	21.38219864113661	21.535310316841855	21.3134093375589	21.47220710157745	21.625453957145155	21.403357065018053	21.413813252356714	21.566297158590064	21.345305990135927	22.0	22.141159739898445	21.936580406712302	20.0	20.283469619553596	19.872644083968677	21.893600510031938	22.046773747993367	21.82478354804928
2018-01-13 16:50:00	22.0	22.158026743039162	21.92900247776501	21.415331454351808	21.582559715978043	21.340199916519733	21.507467804553713	21.674979964316687	21.43220871828339	21.447620674071892	21.61419117027821	21.372784654037172	21.787070340240476	21.560599771978737	21.888817986850817	20.0	20.28846793756193	19.8703984628345	21.959235907687624	22.126994407387215	21.883866146953025
2018-01-13 17:00:00	22.0	22.070554654689616	21.96830153195104	21.425621347430077	21.575479023023615	21.35829398593154	21.520795171892743	21.670632280937927	21.453477050437655	21.458559338549307	21.60773723516273	21.391537384998355	22.0	22.14034560023661	21.936946179603844	20.0	20.309990695436564	19.860728817992275	21.982346859187558	22.131043405825494	21.91554116432124
2018-01-13 17:10:00	22.0	22.071654244210404	21.96780751347069	21.428180918534423	21.58052424730971	21.35973681430205	21.52566701673686	21.677977637162066	21.457237607560323	21.461816492659768	21.613463386853667	21.393685279326277	22.0	22.102070073236092	21.954142430864948	20.0	20.33467256983048	19.849639859931237	22.0	22.151061899176042	21.932131610515114
2018-01-13 17:20:00	22.0	22.07229981814198	21.967517473008677	21.43136996654779	21.58617583768489	21.36181950270359	21.53114710522863	21.685907686434803	21.461616989034546	21.465696244471275	21.619789123732048	21.396466110310637	22.0	22.076984024938582	21.965412974302957	20.0	20.35098922531588	19.842309188626203	22.0	22.13401432739552	21.93979066450347
2018-01-13 17:30:00	22.0	22.072724743448084	21.967326564537814	21.435160726257465	21.59241724184884	21.364509248238146	21.53720654075396	21.69440556205597	21.466580893502332	21.47017087508639	21.626698019542893	21.399847085547965	22.0	22.060564366859975	21.972789922135377	20.0	20.361783135707224	19.837459750624298	22.0	22.124556325916654	21.944039911544692
2018-01-13 17:40:00	22.0	22.073004366479704	21.967200936798974	21.439547110781564	21.599242502324046	21.367799905885672	21.543839582738272	21.70346555211393	21.47212356751153	21.475234372910254	21.634184126594825	21.403822164733125	22.0	22.04981712824449	21.977618391658275	20.0	20.368923592591727	19.834251719270384	22.0	22.119311329852575	21.946396359051747
2018-01-13 17:50:00	22.0	22.073188373121454	21.96711826714833	21.44452304652434	21.606645660530223	21.371685350376765	21.55104050604311	21.71308199367675	21.478239257975822	21.48088081096155	21.642241687562326	21.40838534466266	22.0	22.04278268593694	21.980778793274705	20.717183511845015	21.777279423111043	20.240908537218253	22.0	22.11640268047492	21.947703143554747
2018-01-13 18:00:00	22.0	22.056219303032343	21.97474205226083	21.45325991301047	21.613694090577972	21.381180789755504	21.56229557776884	21.72257460216172	21.49028616101262	21.49026776670147	21.64991752132718	21.4185410653479	22.0	22.029494631036126	21.98674878895478	20.0	20.155248483490528	19.930250681330342	22.0	22.11141038991449	21.949946056705084
2018-01-13 18:10:00	22.0	22.063485624345855	21.971477473119975	21.43440306651236	21.56307039865896	21.376596004243595	21.546009153544183	21.674038989443048	21.488488502633103	21.47202033591615	21.599929225389083	21.4145540232544	22.0	22.024669590221574	21.98891656091494	20.0	20.236414146528066	19.893784948661306	22.0	22.118561375814235	21.94673329492404
2018-01-13 18:20:00	22.0	22.07547274768485	21.966091953938694	21.402402495326463	21.499562059364607	21.35875109699049	21.516555423836607	21.612598742659138	21.47340552697431	21.440622252978784	21.53704901140954	21.39730008614757	22.0	22.0292645322047	21.98685216669064	20.0	20.29567724782841	19.867159497352453	21.960791230185475	22.052427377217317	21.91962136702624
2018-01-13 18:30:00	21.966027442148338	22.010815510274043	21.9459052666136	21.35739142582539	21.423300319119175	21.327780183910793	21.474064942378504	21.538383121002905	21.44516836937334	21.396205746984904	21.46140723087462	21.36691232668663	22.0	22.040021123264324	21.98201949534501	20.0	20.340047006616025	19.847225257897147	21.89457204317214	21.952832116806952	21.868397227481136
2018-01-13 18:40:00	21.91878901487592	21.93254754812015	21.91260764486764	21.299502487885242	21.33441523918572	21.283817048895173	21.418667007967215	21.451518816998604	21.403907499561804	21.338902558356413	21.373133117117842	21.323523611666495	21.973777846262372	21.991012783327818	21.96603461366775	20.0	20.374564853777496	19.83171723960721	21.80543215693371	21.830807893482707	21.794031463701547
2018-01-13 18:50:00	21.85869164798198	21.841678971398093	21.866335024418227	21.22886694442999	21.233035493952773	21.2269941178328	21.350489476104507	21.352130900278503	21.34975202466402	21.268843035013518	21.272354417651464	21.26726545730662	21.92953491431445	21.913685005975363	21.936655887626205	20.0	20.402565400659768	19.819137283761556	21.693746224846038	21.68672174556905	21.696902150318305
2018-01-13 19:00:00	21.78584706838147	21.738319262924907	21.807200140398194	21.145614738447208	21.119288491294885	21.157442472675065	21.269659239512976	21.24034399323337	21.282829857406714	21.186156232423347	21.15919766280146	21.19826805355782	21.872213992480823	21.823556000752276	21.89407482934437	20.0	20.426254581221944	19.80849431858145	21.559883330668846	21.520934800047925	21.577381945875345
2018-01-13 19:10:00	21.718380449722634	21.67228747722744	21.739088886640765	21.068010606957294	21.04322363881226	21.07914678105144	21.194052542170002	21.1662578370342	21.206540018390434	21.109138965293972	21.083705759879276	21.120565477871594	21.81859604429359	21.771077273888583	21.839945057084243	20.0	20.446378652256513	19.799453069276062	21.435817099112818	21.399534980704324	21.452117761006487
