date	grid_prod_4	CI3_app	CI3_light	heat_pump_4__elec_cons
2025-01-02 18:00:00	6.85462	5.817	1.03762	0.0
2025-01-02 18:10:00	9.55498	8.406	1.14898	0.0
2025-01-02 18:20:00	13.0661	11.816	1.2501	0.0
2025-01-02 18:30:00	7.18664	5.988	1.19864	0.0
2025-01-02 18:40:00	7.0309	5.733	1.2979	0.0
2025-01-02 18:50:00	6.02592	4.683	1.34292	0.0
2025-01-02 19:00:00	8.8754	7.633	1.2424000000000002	0.0
2025-01-02 19:10:00	12.98584	11.706	1.27984	0.0
2025-01-02 19:20:00	9.95622	8.675	1.2812199999999998	0.0
2025-01-02 19:30:00	10.84304	9.504	1.33904	0.0
2025-01-02 19:40:00	12.7136	11.371	1.3426	0.0
2025-01-02 19:50:00	8.14822	6.92	1.22822	0.0
2025-01-02 20:00:00	8.93512	7.632	1.3031199999999998	0.0
2025-01-02 20:10:00	7.27608	6.02	1.25608	0.0
2025-01-02 20:20:00	7.67706	6.399	1.2780600000000002	0.0
2025-01-02 20:30:00	8.88764	7.55	1.3376399999999995	0.0
2025-01-02 20:40:00	9.21306	7.795	1.4180599999999994	0.0
2025-01-02 20:50:00	9.52452	7.912	1.6125199999999995	0.0
2025-01-02 21:00:00	8.38164	6.746	1.6356400000000002	0.0
2025-01-02 21:10:00	8.85082	7.207	1.6438199999999996	0.0
2025-01-02 21:20:00	8.553	6.953	1.6	0.0
2025-01-02 21:30:00	7.50868	5.787	1.72168	0.0
2025-01-02 21:40:00	8.11704	6.434	1.6830399999999994	0.0
2025-01-02 21:50:00	8.6913	7.112	1.5793	0.0
2025-01-02 22:00:00	10.15238	8.556	1.59638	0.0
2025-01-02 22:10:00	9.7189	8.131	1.5878999999999994	0.0
2025-01-02 22:20:00	9.64562	8.121	1.52462	0.0
2025-01-02 22:30:00	9.00132	7.588	1.4133199999999997	0.0
2025-01-02 22:40:00	7.27086	6.03	1.24086	0.0
2025-01-02 22:50:00	7.13774	6.059	1.07874	0.0
2025-01-02 23:00:00	6.98868	5.91	1.07868	0.0
2025-01-02 23:10:00	6.74324	5.997	0.7462399999999998	0.0
2025-01-02 23:20:00	6.43092	5.73	0.70092	0.0
2025-01-02 23:30:00	7.16102	6.577	0.5840199999999999	0.0
2025-01-02 23:40:00	5.51618	5.066	0.45018	0.0
2025-01-02 23:50:00	4.97382	4.72	0.25382	0.0
2025-01-03 00:00:00	4.68282	4.485	0.19782	0.0
2025-01-03 00:10:00	5.36184	5.235	0.12684	0.0
2025-01-03 00:20:00	4.7051	4.584	0.1211	0.0
2025-01-03 00:30:00	4.7811	4.695	0.0861	0.0
2025-01-03 00:40:00	4.818	4.692	0.126	0.0
2025-01-03 00:50:00	3.682	3.598	0.084	0.0
2025-01-03 01:00:00	4.469	4.469	0.0	0.0
2025-01-03 01:10:00	5.299	5.299	0.0	0.0
2025-01-03 01:20:00	6.041	6.041	0.0	0.0
2025-01-03 01:30:00	4.127	4.127	0.0	0.0
2025-01-03 01:40:00	3.442	3.442	0.0	0.0
2025-01-03 01:50:00	4.5933	4.538	0.0552999999999999	0.0
2025-01-03 02:00:00	5.0395	4.959	0.0805	0.0
2025-01-03 02:10:00	4.1681	4.124	0.0441	0.0
2025-01-03 02:20:00	3.5535	3.529	0.0245	0.0
2025-01-03 02:30:00	5.545	5.545	0.0	0.0
2025-01-03 02:40:00	5.094	5.094	0.0	0.0
2025-01-03 02:50:00	3.899	3.899	0.0	0.0
2025-01-03 03:00:00	3.866	3.866	0.0	0.0
2025-01-03 03:10:00	4.515	4.515	0.0	0.0
2025-01-03 03:20:00	4.507	4.507	0.0	0.0
2025-01-03 03:30:00	5.053	5.053	0.0	0.0
2025-01-03 03:40:00	4.501	4.501	0.0	0.0
2025-01-03 03:50:00	4.207	4.207	0.0	0.0
2025-01-03 04:00:00	4.958	4.958	0.0	0.0
2025-01-03 04:10:00	4.785447799330081	4.13	0.0	0.6554477993300807
2025-01-03 04:20:00	5.454829330046461	4.69	0.0	0.7648293300464611
2025-01-03 04:30:00	5.384260767396747	4.237	0.0	1.1472607673967472
2025-01-03 04:40:00	5.692888005171501	4.576	0.0	1.116888005171502
2025-01-03 04:50:00	5.898436878188859	4.767	0.0	1.1314368781888589
2025-01-03 05:00:00	5.827866994606913	4.426	0.0	1.4018669946069124
2025-01-03 05:10:00	5.6675517078662345	4.126	0.0	1.5415517078662346
2025-01-03 05:20:00	5.712157723270752	4.174	0.0	1.5381577232707522
2025-01-03 05:30:00	6.840023616276664	5.905	0.014	0.921023616276664
2025-01-03 05:40:00	6.332854556589788	5.002	0.0	1.330854556589788
2025-01-03 05:50:00	6.567234969500999	5.06	0.0	1.507234969500999
2025-01-03 06:00:00	10.097234969500999	3.55	0.0	6.547234969500998
2025-01-03 06:10:00	14.661000000000001	4.567	0.014	10.08
2025-01-03 06:20:00	13.623411886494985	5.13	0.0154	8.478011886494984
2025-01-03 06:30:00	12.921512184575306	7.329	0.0154	5.577112184575306
2025-01-03 06:40:00	11.4952193239993	5.525	0.01064	5.959579323999302
2025-01-03 06:50:00	16.3196	6.227	0.0126	10.08
2025-01-03 07:00:00	17.27086	7.135	0.05586	10.08
2025-01-03 07:10:00	14.359456172154259	6.394	0.04802	7.917436172154258
2025-01-03 07:20:00	14.826998241085256	7.929	0.05418	6.843818241085256
2025-01-03 07:30:00	12.5484000602639	5.465	0.05404	7.029360060263899
2025-01-03 07:40:00	9.61738575863988	5.582	0.0441	3.9912857586398816
2025-01-03 07:50:00	9.04010657007701	5.465	0.0576799999999999	3.5174265700770095
2025-01-03 08:00:00	7.56402	7.53	0.03402	0.0
2025-01-03 08:10:00	6.91322	6.882	0.0312199999999999	0.0
2025-01-03 08:20:00	6.28452	6.254	0.03052	0.0
2025-01-03 08:30:00	7.59942	7.571	0.02842	0.0
2025-01-03 08:40:00	8.778594598985162	7.094	0.0300999999999999	1.6544945989851616
2025-01-03 08:50:00	9.863902902159953	6.841	0.0300999999999999	2.992802902159953
2025-01-03 09:00:00	6.893596338601194	4.033	0.0284199999999999	2.832176338601194
2025-01-03 09:10:00	10.190820083048784	5.485	0.0284199999999999	4.677400083048784
2025-01-03 09:20:00	9.470889470095667	5.702	0.0277199999999999	3.7411694700956675
2025-01-03 09:30:00	10.268090250851555	7.879	0.0112	2.377890250851555
2025-01-03 09:40:00	7.365750178199306	6.761	0.0196	0.5851501781993063
2025-01-03 09:50:00	6.75536	6.724	0.03136	0.0
2025-01-03 10:00:00	9.49608	9.437	0.0590799999999999	0.0
2025-01-03 10:10:00	7.85888	7.776	0.08288	0.0
2025-01-03 10:20:00	8.61308	8.519	0.09408	0.0
2025-01-03 10:30:00	7.43396	7.355	0.07896	0.0
2025-01-03 10:40:00	6.71468	6.643	0.07168	0.0
2025-01-03 10:50:00	6.85868	6.801	0.0576799999999999	0.0
2025-01-03 11:00:00	5.11668	5.059	0.0576799999999999	0.0
2025-01-03 11:10:00	4.53628	4.487	0.04928	0.0
2025-01-03 11:20:00	5.66688	5.581	0.08588	0.0
2025-01-03 11:30:00	5.78886	5.723	0.06586	0.0
2025-01-03 11:40:00	5.8676	5.841	0.0266	0.0
2025-01-03 11:50:00	5.65086	5.623	0.02786	0.0
2025-01-03 12:00:00	6.34694	6.323	0.02394	0.0
2025-01-03 12:10:00	9.23682	9.207	0.02982	0.0
2025-01-03 12:20:00	9.882982335556889	9.185	0.01652	0.681462335556889
2025-01-03 12:30:00	8.343809875017026	7.56	0.0124599999999999	0.7713498750170257
2025-01-03 12:40:00	7.820674858808747	6.751	0.02926	1.0404148588087472
2025-01-03 12:50:00	8.231633899106068	3.779	0.02086	4.431773899106068
2025-01-03 13:00:00	9.721010388120419	7.154	0.02926	2.5377503881204206
