date	HL_CI4_T_op	HL_CI4_T_air	HL_CI4_theta_c	HL_CE2_T_op	HL_CE2_T_air	HL_CE2_theta_c	HL_CJ1_T_op	HL_CJ1_T_air	HL_CJ1_theta_c	HL_CL1_T_op	HL_CL1_T_air	HL_CL1_theta_c	HL_CI3_T_op	HL_CI3_T_air	HL_CI3_theta_c
2025-01-13 19:30:00	19.819805190000004	20.18654579139569	19.655037673430932	20.138506879999998	20.653922149724952	19.90694349794965	19.9531494	20.210086322263123	19.83771397115715	19.973306568494067	20.076355579302177	19.927009186826652	19.62465142	20.04129415924689	19.437464102367333
2025-01-13 19:40:00	19.719155839999996	19.93226926583062	19.62340922839494	20.254911589999995	20.902872783797903	19.96379858988789	20.04997397	20.489665873590102	19.852431230705893	19.98633835538464	20.150388992452164	19.91263444597749	19.624651420000003	20.02441898979343	19.44504570023774
2025-01-13 19:50:00	20.0211039	20.678001490554518	19.725975996997256	20.321218070000004	21.008896448833237	20.012261117190867	19.860642213330824	20.05675081563668	19.772535449976022	19.95270913372735	20.109068677544613	19.88246064302684	19.624651419999992	20.01925606439472	19.447365275416864
2025-01-13 20:00:00	19.892857139999997	20.261500435953394	19.72723478964413	20.32121807	20.92575218859022	20.049615784836277	19.953149400000004	20.362731168433207	19.76913440258798	19.844061917671606	19.908295921152625	19.815203162484476	19.62465142	20.005367313242697	19.45360514912285
2025-01-13 20:10:00	19.892857139999997	20.23526945206864	19.73901972443293	20.321218070000004	20.86330681516943	20.07767095260504	20.04997397	20.619967532061384	19.793889905885464	19.82901313560853	19.929829302303816	19.783718915788903	19.624651420000003	20.037098768798337	19.43934898793119
2025-01-13 20:20:00	19.892857139999997	20.22346129238164	19.744324839654624	20.321218069999997	20.826562190289906	20.094179407261052	20.049973969999996	20.594607579413193	19.80528350779986	19.787812455903953	19.88639287998137	19.743522700159023	19.624651420000006	20.016137180656507	19.448766513038393
2025-01-13 20:30:00	19.993506490000005	20.45087532130044	19.78802194260416	20.32121807	20.803350967859906	20.104607637628156	20.07652264	20.622697854029617	19.831139572827272	19.911610276553347	20.21057354249724	19.77729344692638	19.538602896759702	19.825939798387754	19.409509506173187
2025-01-13 20:40:00	19.920454549999995	20.23119837741915	19.780845004347917	20.22986248	20.563652041736876	20.079899053712417	20.076522639999997	20.601026421413923	19.840876013567655	19.950520576373826	20.308988620579058	19.789469715933798	19.398649801365067	19.556765633129267	19.32761225376086
2025-01-13 20:50:00	19.770984374220365	19.873278110165646	19.725026318940593	20.20368382123025	20.54712205956122	20.049385482269958	20.076522639999997	20.569977551348064	19.854825505916082	19.74410528894161	19.851048706868898	19.696058246104716	19.357989895738722	19.54262343292523	19.27503859642304
2025-01-13 21:00:00	19.736000643916032	19.868344895137593	19.676541632497646	19.98280493505674	20.067594585424704	19.944711034166794	20.07652264	20.588634968684048	19.84644318798253	19.754209276195038	19.924511394863387	19.677696730126648	19.23643939569796	19.35669517806784	19.18241143550279
2025-01-13 21:10:00	19.67805753555408	19.803283367825987	19.621796654388433	19.933518551594037	20.065662955897697	19.874149326472107	20.1009140152707	20.629867742569576	19.863268137788594	19.702055972854275	19.84360308023456	19.638462344900812	19.16533054288554	19.28730334746943	19.11053116691306
2025-01-13 21:20:00	19.623424375635466	19.7468980564982	19.56795069292901	19.960718726918365	20.221344569775088	19.843625956939263	19.873926617297258	20.058931614760272	19.790808430031262	19.679955181721255	19.8349190834577	19.61033371862227	19.18539776001992	19.409538400147753	19.084696892716106
2025-01-13 21:30:00	19.561919243972135	19.672455427702836	19.51225805997717	19.831999359078395	20.01073257125115	19.751698930421075	19.759547540462506	19.891420614369654	19.700300217402777	19.66114062600844	19.8297579607719	19.58538501183935	19.13819481661618	19.3682881077573	19.034819569871626
