;CI4;CI4;CI4;CE2;CE2;CE2;CK3;CK3;CK3;CJ1;CJ1;CJ1;CL1;CL1;CL1;CI2;CI2;CI2;CI3;CI3;CI3;CK2;CK2;CK2;CK4;CK4;CK4;CI1;CI1;CI1;CK11;CK11;CK11;CJ4;CJ4;CJ4;CJ3;CJ3;CJ3;CL3;CL3;CL3;CL21;CL21;CL21
;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains;human_gains;light_gains;machine_gains
01/01/2025 03:10;8060.0;0.0;3716.7999999999993;7451.0;22.512;5291.599999999999;11498.0;13.076;7452.8;7654.0;22.904;4163.200000000001;8353.0;9.38;4385.3;9908.0;90.02000000000001;6228.800000000002;7372.0;36.20400000000001;3751.000000000001;11915.0;25.956;6880.199999999998;11002.0;29.876;7271.499999999997;10709.0;0.3360000000000001;5704.800000000001;12569.0;3.164;6671.5;12163.0;26.796;6919.799999999999;16379.0;36.936;8535.900000000001;18408.0;21.504;6444.300000000008;35430.0;26.348;14730.699999999995
01/01/2025 03:20;8060.0;0.0;3955.0;7451.0;24.892000000000003;5068.1;11498.0;14.504;7526.4;7654.0;21.364;5063.799999999999;8353.0;12.18;4567.999999999999;9908.0;88.676;5857.600000000001;7327.0;25.172;4282.8;11870.0;20.3;6636.700000000002;11002.0;27.076;7272.899999999997;10709.0;0.0;5395.800000000001;12569.0;4.928;7486.7;12163.0;29.316000000000003;6653.999999999998;16379.0;48.5;9249.9;18408.0;25.424;7202.700000000008;35385.0;15.512;14050.699999999992
01/01/2025 03:30;8060.0;0.0;4643.800000000002;7451.0;31.36;4662.5;11498.0;12.264;6295.599999999998;7699.0;23.604;5519.199999999999;8353.0;9.38;5200.799999999999;9863.0;73.164;5833.0;7327.0;24.472;7129.799999999999;11870.0;18.62;5946.200000000002;11002.0;22.932;6715.999999999997;10709.0;7.755999999999999;6095.600000000001;12614.0;2.828;7219.499999999999;12163.0;35.476;6283.8;16424.0;47.57599999999999;8615.7;18498.0;38.724;6633.900000000006;35396.0;30.912;16607.299999999977
01/01/2025 03:40;8060.0;0.0;4492.6;7451.0;36.904;3944.3;11498.0;11.703999999999995;5842.299999999999;7699.0;29.764000000000003;4741.200000000002;8353.0;9.38;4807.2;9863.0;77.0;6544.400000000001;7372.0;33.123999999999995;3784.8000000000006;11870.0;10.332;4810.799999999999;11002.0;19.348;6216.499999999997;10709.0;9.38;5490.200000000001;12569.0;4.928;6261.499999999999;12118.0;32.116;5987.400000000001;16424.0;46.96;8471.099999999999;18374.0;45.5;6760.300000000008;35520.0;28.700000000000003;15095.499999999996
01/01/2025 03:50;8060.0;0.0;3597.5999999999995;7451.0;44.184;3912.8;11408.0;0.0;6004.1;7654.0;24.024;4795.4;8353.0;13.3;4982.200000000001;9863.0;78.54;6007.900000000001;7327.0;20.048;3579.4000000000005;12005.0;19.152;6448.899999999999;11002.0;17.668;6272.099999999998;10709.0;10.92;4774.4000000000015;12569.0;3.808;5832.499999999999;12163.0;25.228;5897.200000000001;16424.0;43.79600000000001;8268.300000000001;18239.0;27.748;6823.500000000009;35565.0;21.952;14161.899999999989
01/01/2025 04:00;8060.0;0.0;3979.8;7451.0;35.78399999999999;4549.299999999999;11408.0;0.0;6551.900000000001;7744.0;34.24399999999999;5826.7;8398.0;23.716;5076.000000000001;9694.0;77.112;5385.400000000001;7327.0;16.352;4632.1;11836.0;22.651999999999997;7317.299999999999;10957.0;9.296;6175.3;10709.0;9.8;5411.600000000002;12569.0;5.908;5790.700000000001;12163.0;23.772;7999.999999999997;16469.0;44.3;9040.7;18284.0;28.168;6570.700000000007;35610.0;33.208;13617.899999999996
01/01/2025 04:10;8060.0;0.0;4230.2;7406.0;28.7;6564.8;11453.0;5.32;7135.900000000001;7789.0;33.739999999999995;5841.099999999999;8398.0;22.316;4577.099999999999;9694.0;69.21600000000001;6003.000000000003;7327.0;16.884;4521.299999999998;11757.0;25.592;7125.099999999999;10957.0;15.036;6019.299999999999;10709.0;8.26;5154.000000000002;12569.0;6.607999999999999;5941.599999999999;12163.0;27.412;7238.399999999997;16469.0;38.472;8903.8;18419.0;51.988;6381.100000000006;35655.0;34.804;13554.7
01/01/2025 04:20;8105.0;2.8000000000000003;4358.999999999999;7451.0;32.48;6174.799999999999;11453.0;6.440000000000001;5946.9;7789.0;39.676;4403.1;8398.0;23.996;3709.200000000001;9649.0;79.99600000000001;5248.100000000001;7282.0;17.752;4621.299999999999;11757.0;38.192;6051.499999999999;10957.0;16.576;6034.099999999999;10754.0;12.179999999999998;5535.600000000001;12569.0;5.18;5654.899999999998;12163.0;30.212;7097.099999999999;16469.0;37.52;8215.9;18250.0;44.072;6949.900000000008;35745.0;64.0;13527.499999999998
01/01/2025 04:30;7981.0;6.16;3748.799999999999;7327.0;34.972;6187.799999999998;11453.0;6.440000000000001;6100.499999999999;7620.0;35.924;3992.900000000001;8353.0;13.02;3276.8;9649.0;65.156;5111.9000000000015;7282.0;11.312;3557.9;11757.0;36.372;5207.5;10957.0;20.776;5757.299999999999;10754.0;10.5;5738.400000000001;12535.0;13.44;9374.7;12163.0;32.228;6643.099999999999;16469.0;56.172;7995.599999999999;18115.0;29.4;6886.700000000008;35970.0;86.70800000000001;13777.899999999989
01/01/2025 04:40;8026.0;6.719999999999999;4177.6;7327.0;37.8;4767.599999999999;11498.0;15.764;7055.099999999997;7665.0;35.924;4883.5;8353.0;10.78;5100.799999999999;9604.0;63.868;6170.1;7282.0;19.432;4180.7;11802.0;43.120000000000005;5992.9;11002.0;17.752;6474.2999999999965;10799.0;13.3;5339.000000000002;12625.0;23.688;9457.0;12208.0;36.148;6829.4000000000015;16424.0;57.068000000000005;8480.1;17946.0;21.616;6760.300000000008;35925.0;94.75199999999998;14563.499999999987
